time,open,high,low,close,buy_volume,sell_volume,avg_speed,tick_count,volume_delta,rejection_speed,micro_trend,source_date,symbol,vol_mean,vol_std,is_massive_vol,absorption_ratio,absorption_z,whale_signal,ret_3h_pips,hit_3h,miss_3h,ret_6h_pips,hit_6h,miss_6h,ret_12h_pips,hit_12h,miss_12h,hit,miss
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167047,0.2045454545457527,2026-04-15,EURUSD,545.1666666666666,481.7161049798504,False,1763636.3636360832,1.0430232947200604,0,0.0,0,0,0.0,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-03,EURUSD,547.0833333333334,484.1796214184962,False,1763636.3636360832,1.1433506491174832,0,0.0,0,0,0.0,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-04,EURUSD,549.0,486.6227893659438,False,1763636.3636360832,1.2638125740086064,0,0.0,0,0,0.0,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-06,EURUSD,590.0,495.5523927022263,False,1763636.3636360832,1.1583033569262826,0,0.0,0,0,-4.250000000001197,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-05,EURUSD,631.0,500.83373966064624,False,1763636.3636360832,1.0642254261084818,0,0.0,0,0,-4.250000000001197,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-10,EURUSD,672.0,502.5818557598263,False,1763636.3636360832,0.9789450103725699,0,0.0,0,0,-4.250000000001197,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,0.0,0.2045454545457527,2026-04-16,EURUSD,713.0,500.8337396606486,False,1763636.3636360832,0.9004984374764068,0,-4.250000000001197,0,0,-4.250000000001197,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167033,0.2045454545457527,2026-04-11,EURUSD,754.0,495.5523927022311,False,1763636.3636360832,0.8273595406616284,0,-4.250000000001197,0,0,-4.250000000001197,0,0,-4.250000000001197,0,0,0,0
2026-04-17 01:00:00,1.178095,1.17873,1.17807,1.178535,0.0,0.0,4.276876394942243e-08,1164,0.0,-0.5559409491167058,0.2045454545457527,2026-04-13,EURUSD,795.0,486.622789365951,False,1763636.3636360832,0.7582875444051608,0,-4.250000000001197,0,0,-4.250000000001197,0,0,-4.250000000001197,0,0,0,0
2026-04-17 02:00:00,1.17853,1.178645,1.17808,1.17811,0.0,0.0,3.754038194979828e-08,1001,0.0,-1.3512209465810827,-0.4469026548672949,2026-04-09,EURUSD,829.2083333333334,470.08629912288797,False,1771681.4159294334,0.7049011167586668,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0
